Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-May-2025,718.90,729.50,718.00,726.75,724.893363657819640826,466070,8820,337851050.00,138071,29.62,11.50,7.85
20-May-2025,731.50,737.50,717.10,718.75,727.601999248929087448,628436,12150,457251290.00,198030,31.51,20.40,-12.75
19-May-2025,731.75,738.30,727.90,729.20,733.505235761045526164,971683,26678,712734568.00,409029,42.09,10.40,-2.55
16-May-2025,728.60,742.00,725.55,730.70,733.243361235929727536,1197738,21966,878233437.00,410224,34.25,16.45,2.10
15-May-2025,699.15,729.95,696.00,728.05,717.544981684236874754,2852461,52803,2046769076.00,1222649,42.86,33.95,28.90
14-May-2025,699.75,708.00,686.00,699.00,696.661371683817166598,2377093,51381,1656028870.00,,,22.00,-0.75
13-May-2025,720.55,726.65,703.50,707.90,715.217787765551309344,2052287,21664,1467832168.00,1288976,62.81,23.15,-12.65
12-May-2025,726.55,732.55,711.10,720.55,720.631783404750936541,1840816,45128,1326550517.00,683406,37.13,21.45,-6.00
9-May-2025,662.60,710.85,662.60,708.50,700.060572287198067332,2414487,41719,1690287151.00,753992,31.23,48.25,45.90
8-May-2025,700.15,704.00,677.05,681.90,693.616286545245519894,2247659,46535,1559012889.00,729353,32.45,26.95,-18.25
7-May-2025,640.00,682.25,639.95,680.50,673.115005692666424835,1590643,27379,1070685672.00,588854,37.02,42.30,40.50
6-May-2025,658.70,663.45,645.50,647.80,653.051465309986446819,1468290,35337,958868936.00,707685,48.20,17.95,-10.90
5-May-2025,660.10,667.50,655.80,661.60,661.028914931641369156,695523,12778,459760814.00,315364,45.34,11.70,1.50
2-May-2025,644.20,660.95,635.75,651.85,652.693114514424349959,883714,13268,576794043.00,213211,24.13,25.20,7.65
30-April-2025,666.20,666.60,641.10,644.15,645.625199242117870045,1476219,23589,953084186.00,934001,63.27,25.50,-22.05
29-April-2025,670.70,683.00,661.55,665.60,672.228955442686541991,1233288,29406,829051904.00,392944,31.86,21.45,-5.10
28-April-2025,654.80,669.35,652.70,668.35,663.666003114314107529,638985,12100,424072621.00,242565,37.96,16.65,13.55
25-April-2025,668.20,673.00,651.45,654.85,658.195038231964468002,1186311,22117,780824014.00,573977,48.38,21.55,-13.35
24-April-2025,660.00,671.00,660.00,668.20,665.777281294921817701,1636176,33780,1089328809.00,572790,35.01,11.00,8.20
23-April-2025,635.05,661.40,632.85,659.90,650.169947807474817072,2208937,50705,1436184454.00,845386,38.27,28.55,24.85
22-April-2025,630.80,633.95,626.15,630.95,631.185850114104779896,1343502,24716,847999452.00,933434,69.48,7.80,0.15
21-April-2025,625.00,635.70,620.10,629.95,628.044668695428651978,844193,16156,530190913.00,342161,40.53,15.60,4.95
17-April-2025,616.10,626.90,608.30,621.50,619.317362700839889495,1170273,30000,724770388.00,423340,36.17,18.60,5.40
16-April-2025,627.70,627.70,613.40,616.10,616.907281581844930589,648458,14530,400038462.00,280781,43.30,14.30,-11.60
15-April-2025,612.25,628.05,612.25,621.80,622.554605928630563160,1960419,44351,1220467878.00,726562,37.06,15.80,9.55
11-April-2025,610.65,612.65,591.10,595.05,601.389038101748578829,2223520,50262,1337200554.00,633858,28.51,21.55,-15.60
9-April-2025,588.90,595.00,581.20,583.00,588.143456675783892689,1686551,46809,991933935.00,787079,46.67,13.80,-5.90
8-April-2025,592.65,606.40,584.25,588.90,591.981822098686941398,1903190,57107,1126653884.00,679859,35.72,22.15,-3.75
7-April-2025,552.50,582.00,542.55,579.85,561.769207912884786171,6047807,190478,3397471748.00,2302445,38.07,39.45,27.35
4-April-2025,650.95,650.95,610.10,613.85,619.557811696093532902,2544217,119005,1576289517.00,1286422,50.56,40.85,-37.10
3-April-2025,656.05,669.00,652.80,654.05,659.469087279045677816,718248,16721,473662353.00,299656,41.72,16.20,-2.00
2-April-2025,676.40,676.40,662.00,671.80,670.111265699242811809,529723,9132,354973350.00,292623,55.24,14.40,-4.60
1-April-2025,670.00,681.90,665.70,671.40,674.002402144179928093,507047,16793,341750896.00,149945,29.57,16.20,1.40
28-March-2025,671.10,684.90,669.15,674.05,675.426206977622486062,1599284,41309,1080198326.00,757727,47.38,15.75,2.95
27-March-2025,673.95,677.05,661.35,668.60,670.488472573146265141,1752516,35608,1175041776.00,817546,46.65,15.70,-5.35
26-March-2025,710.45,717.75,707.00,707.95,711.849229254968698069,749794,23953,533740281.00,364763,48.65,10.75,-2.50
25-March-2025,719.40,722.50,706.35,710.45,714.460220511980787074,549630,15545,392688771.00,200842,36.54,16.15,-8.95
24-March-2025,714.95,717.55,702.25,713.40,710.724500946136830041,562815,16749,400006410.00,207510,36.87,15.30,-1.55
21-March-2025,693.30,704.90,688.95,702.85,698.422610762312524838,1021602,27367,713509936.00,447206,43.77,15.95,9.55
