Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-July-2025,4205.65,4239.90,4173.00,4189.55,4204.887890650067381120,15583,1973,65524768.00,6758,43.37,66.90,-16.10
8-July-2025,4242.20,4275.00,4190.80,4214.25,4220.454957597738546055,18749,3780,79129310.00,8868,47.30,84.20,-27.95
7-July-2025,4261.35,4295.75,4230.00,4237.20,4263.460180652278838860,14503,2914,61832963.00,4674,32.23,65.75,-24.15
4-July-2025,4351.05,4375.85,4251.05,4261.20,4303.072397828863346104,12528,1913,53908891.00,4907,39.17,124.80,-89.85
3-July-2025,4379.95,4379.95,4220.00,4346.50,4284.540816326530612244,70756,10663,303156970.00,20178,28.52,159.95,-33.45
2-July-2025,4500.00,4500.00,4341.30,4392.25,4391.299047790154509522,22264,4200,97767882.00,6911,31.04,158.70,-107.75
1-July-2025,4395.00,4482.10,4380.50,4452.20,4437.441482509166584084,20182,3501,89556444.00,6270,31.07,101.60,57.20
30-June-2025,4315.35,4399.85,4315.35,4372.15,4360.243515935663837616,16849,3212,73465743.00,6675,39.62,84.50,56.80
27-June-2025,4286.05,4347.05,4286.05,4310.95,4315.956085217533262590,12251,2226,52874778.00,4599,37.54,61.00,24.90
26-June-2025,4276.90,4330.00,4266.10,4314.85,4305.332821332022609977,16276,3677,70073597.00,8177,50.24,63.90,37.95
25-June-2025,4269.75,4292.75,4236.95,4276.65,4270.016784385205437837,13167,2512,56223311.00,5466,41.51,55.80,6.90
24-June-2025,4338.30,4359.55,4242.00,4253.45,4296.237956609135648436,14427,2566,61981825.00,5934,41.13,117.55,-84.85
23-June-2025,4289.75,4359.00,4260.15,4333.25,4304.769727797635413802,14548,3075,62625790.00,6074,41.75,98.85,43.50
20-June-2025,4186.15,4322.70,4172.50,4298.70,4266.530899535451175449,21311,2975,90924040.00,9591,45.00,150.20,112.55
19-June-2025,4230.20,4251.75,4161.00,4198.45,4213.422038742457923150,28341,4721,119412594.00,13123,46.30,90.75,-31.75
18-June-2025,4100.00,4240.00,4080.20,4230.20,4191.046115622348806205,66008,6608,276642572.00,21640,32.78,159.80,130.20
17-June-2025,4082.75,4107.00,4041.20,4057.90,4076.595858753928637456,10818,1835,44100614.00,4756,43.96,65.80,-24.85
16-June-2025,4030.30,4097.55,3985.30,4087.40,4035.573636991028295376,7245,1058,29237731.00,2873,39.65,112.25,57.10
13-June-2025,4001.05,4075.00,3988.70,4050.60,4041.010374077012265820,16387,3220,66220037.00,7769,47.41,86.30,49.55
12-June-2025,4077.80,4102.85,4035.00,4074.40,4072.572855464159811985,27232,3396,110904304.00,15647,57.46,67.85,-3.40
11-June-2025,4082.50,4132.05,4051.50,4079.30,4096.202813480416961845,19762,3550,80949160.00,7368,37.28,80.55,-3.20
10-June-2025,4167.85,4185.25,3929.80,4080.50,4060.742832790949945761,38718,7253,157223841.00,10587,27.34,255.45,-87.35
9-June-2025,4201.60,4227.10,4170.00,4177.80,4192.628334866605335786,8696,1502,36459096.00,3872,44.53,57.10,-23.80
6-June-2025,4184.30,4238.00,4143.65,4200.60,4202.903971253330029118,16141,3521,67839073.00,4744,29.39,94.35,16.30
5-June-2025,4066.10,4244.55,4066.10,4152.50,4185.944918706386596294,28231,5651,118173411.00,10133,35.89,178.45,86.40
4-June-2025,4087.25,4087.25,4007.10,4073.55,4043.086396565602361148,3727,805,15068583.00,1803,48.38,80.15,-13.70
3-June-2025,4027.95,4057.85,4015.00,4054.65,4045.471445319042036509,5971,1234,24155510.00,3100,51.92,42.85,26.70
2-June-2025,3960.35,4038.15,3960.35,4025.05,4007.095680562531391260,15928,2863,63825020.00,7151,44.90,77.80,64.70
30-May-2025,4020.60,4075.00,3994.00,4002.25,4027.207743800395557584,13146,2394,52941673.00,6110,46.48,81.00,-18.35
29-May-2025,4020.05,4072.35,4016.65,4044.00,4040.985674025364020666,4258,919,17206517.00,1200,28.18,55.70,23.95
28-May-2025,4086.00,4101.90,4036.05,4041.90,4063.964748985048024556,10099,1947,41041980.00,3796,37.59,65.85,-44.10
27-May-2025,4138.15,4140.00,4078.00,4093.80,4101.191332946411298123,5169,877,21199058.00,1289,24.94,62.00,-44.35
26-May-2025,4140.85,4171.00,4120.50,4137.55,4140.063474387527839643,6286,1163,26024439.00,2209,35.14,50.50,-3.30
23-May-2025,4076.00,4151.15,4068.10,4139.85,4126.202012383900928792,6460,1290,26655265.00,2272,35.17,83.05,63.85
22-May-2025,4139.00,4139.05,4050.50,4080.45,4078.384063225058004640,13792,2704,56249073.00,6690,48.51,88.55,-58.55
21-May-2025,4102.10,4124.05,4070.05,4113.40,4099.099899637149695051,12953,2424,53095641.00,5204,40.18,54.00,11.30
20-May-2025,4299.70,4299.70,4062.00,4071.80,4110.408821844567500477,15711,2030,64578633.00,4300,27.37,237.70,-227.90
19-May-2025,4190.65,4245.00,4190.65,4205.40,4218.185071675729115175,10115,1625,42666942.00,3392,33.53,54.35,14.75
16-May-2025,4075.00,4195.50,4047.50,4188.05,4143.997635933806146572,10575,1479,43822775.00,3850,36.41,148.00,113.05
15-May-2025,4059.00,4118.00,4037.55,4070.15,4074.970540517462215011,11711,2180,47721980.00,4341,37.07,80.45,11.15
14-May-2025,4099.95,4099.95,4011.00,4048.85,4046.649002289826627412,18342,4125,74223636.00,7823,42.65,88.95,-51.10
13-May-2025,4024.50,4108.15,4024.50,4064.55,4089.090491737656521684,79941,3913,326885983.00,65668,82.15,83.65,40.05
12-May-2025,4068.35,4068.35,3996.65,4023.85,4018.692446393762183235,20520,3947,82463569.00,7761,37.82,71.70,-44.50
9-May-2025,3821.30,3993.30,3821.30,3973.30,3958.382886616929170120,10857,2261,42976163.00,3204,29.51,172.00,152.00
8-May-2025,4049.15,4066.00,3958.55,3972.65,4010.507294199374782910,28790,3948,115462505.00,10328,35.87,107.45,-76.50
7-May-2025,3930.20,4029.65,3930.20,3999.95,3993.936142119793542191,24993,5002,99820446.00,12030,48.13,99.45,69.75
6-May-2025,4000.20,4069.85,3994.20,4006.10,4017.479728831583145021,15046,2473,60447000.00,4685,31.14,75.65,5.90
5-May-2025,3935.75,4060.15,3915.75,4017.05,3984.792182667811065244,73401,11503,292487731.00,22512,30.67,144.40,81.30
2-May-2025,4199.40,4222.00,4025.30,4060.50,4124.803948766379412111,33884,4395,139764857.00,19567,57.75,196.70,-138.90
