Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-August-2024,6944.50,7009.10,6910.05,6966.40,6974.666856492027334851,7024,1724,48990060.00,2755,39.22,99.05,21.90
26-August-2024,6893.30,6958.20,6893.30,6944.45,6932.777584406543682561,2873,719,19917870.00,1178,41.00,64.90,51.15
23-August-2024,6972.85,6991.60,6932.60,6953.20,6965.166893547508848352,3673,1073,25583058.00,1617,44.02,59.00,-19.65
22-August-2024,7041.25,7058.70,6926.30,6972.75,6957.676654054606810512,9779,1517,68039120.00,2294,23.46,132.40,-68.50
21-August-2024,7000.00,7101.00,6965.00,7059.90,7066.465447154471544715,6396,1343,45197113.00,2151,33.63,136.00,59.90
20-August-2024,6954.05,6973.25,6905.20,6964.85,6940.905620360551431601,2829,722,19635822.00,963,34.04,68.05,10.80
19-August-2024,6800.85,6924.95,6800.85,6910.25,6886.038046326380882507,9541,1904,65699689.00,4586,48.07,124.10,109.40
16-August-2024,6805.30,6850.05,6759.00,6794.05,6796.863196125907990314,6608,2024,44913672.00,3680,55.69,91.05,-11.25
14-August-2024,6989.80,6989.80,6792.35,6801.80,6866.633217993079584775,3468,1249,23813484.00,1660,47.87,197.45,-188.00
13-August-2024,6944.10,6959.95,6855.00,6947.35,6927.378116678770273541,12393,2253,85850997.00,4925,39.74,104.95,3.25
12-August-2024,7000.05,7023.80,6875.05,6886.90,6934.318331737418874348,9399,3270,65175658.00,4952,52.69,148.75,-113.15
9-August-2024,6989.95,7025.60,6964.85,7014.95,7000.884976525821596244,3408,822,23859016.00,1326,38.91,60.75,25.00
8-August-2024,6935.05,7036.25,6915.95,6937.25,6985.752284716546548777,13459,3049,94021240.00,4056,30.14,120.30,2.20
7-August-2024,6889.95,6940.75,6850.00,6927.95,6911.042953809944101206,3399,1127,23490635.00,1891,55.63,90.75,38.00
6-August-2024,6817.10,6915.00,6796.00,6806.90,6855.195373522932104946,9986,3280,68455981.00,4782,47.89,119.00,-10.20
5-August-2024,6824.90,6958.65,6796.10,6816.40,6894.998046239010094431,6142,1623,42349078.00,,,162.55,-8.50
2-August-2024,6885.00,6981.80,6868.70,6960.00,6934.197366558119779130,14126,3007,97952472.00,6701,47.44,113.10,75.00
1-August-2024,6800.00,6902.40,6762.35,6894.30,6857.718460298266827891,9924,2486,68055998.00,2594,26.14,140.05,94.30
