Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-August-2024,834.00,873.85,830.35,867.50,858.895144177638431364,283227,10546,243262295.00,134186,47.38,43.50,33.50
14-August-2024,819.70,823.70,809.05,821.75,817.686107880848018606,44716,1803,36563652.00,15639,34.97,14.65,2.05
13-August-2024,832.55,837.90,810.40,813.50,822.757128617169093215,66212,3437,54476395.00,26907,40.64,27.50,-19.05
12-August-2024,819.15,840.55,819.15,835.65,833.104566908196503357,45129,1592,37597176.00,9547,21.15,21.40,16.50
9-August-2024,843.05,848.00,829.20,830.85,834.576089885777068347,48239,2274,40259116.00,18587,38.53,18.80,-12.20
8-August-2024,844.95,850.60,830.90,832.65,841.570107259443494481,38598,2285,32482923.00,8479,21.97,19.70,-12.30
7-August-2024,852.00,852.00,833.85,845.60,841.965948205212260285,48808,2113,41094674.00,12449,25.51,18.15,-6.40
6-August-2024,820.80,844.35,817.60,820.10,832.338250963829746013,206468,7158,171851214.00,56388,27.31,26.75,-0.70
5-August-2024,802.05,835.00,800.25,810.15,813.556300992238454999,251754,10155,204816053.00,,,34.75,8.10
2-August-2024,862.40,866.20,841.00,844.50,854.296637614541981315,134012,6538,114486001.00,59279,44.23,25.20,-17.90
1-August-2024,890.95,901.00,867.50,874.00,882.853881691090993416,166023,4763,146574050.00,50348,30.33,33.50,-16.95
